temp,seed,vdd,sigma,corner_mos,corner_res,res,sim_error,run_id,tb_isource_beta_op__error,idd,idd_pass,out,out_pass,tb_isource_beta_op_overall_pass,global_pass,simulation_duration_s_total
27,0.0,3.3,1,ss,typ,50000,None,000009,None,1.33786e-05,True,0.223311,True,True,True,4.173337393000111
27,0.0,3.3,1,ss,typ,10000,None,000010,None,1.33802e-05,True,0.0446776,True,True,True,
27,0.0,3.3,1,ss,typ,80000,None,000011,None,1.33777e-05,True,0.357222,True,True,True,
27,0.0,3.3,1,ss,wcs,50000,None,000012,None,1.09337e-05,True,0.182517,True,True,True,
27,0.0,3.3,1,ss,wcs,10000,None,000013,None,1.09348e-05,True,0.0365149,True,True,True,
27,0.0,3.3,1,ss,wcs,80000,None,000014,None,1.0933e-05,True,0.291971,True,True,True,
27,0.0,3.3,1,tt,typ,50000,None,000000,None,1.30444e-05,True,0.217744,True,True,True,
27,0.0,3.3,1,tt,typ,10000,None,000001,None,1.30459e-05,True,0.0435638,True,True,True,
27,0.0,3.3,1,tt,typ,80000,None,000002,None,1.30435e-05,True,0.348316,True,True,True,
27,0.0,3.3,1,tt,wcs,50000,None,000003,None,1.06739e-05,True,0.178191,True,True,True,
27,0.0,3.3,1,tt,wcs,10000,None,000004,None,1.0675e-05,True,0.0356494,True,True,True,
27,0.0,3.3,1,tt,wcs,80000,None,000005,None,1.06732e-05,True,0.28505,True,True,True,
27,0.0,3.3,1,tt,bcs,50000,None,000006,None,1.62076e-05,True,0.270517,True,True,True,
27,0.0,3.3,1,tt,bcs,10000,None,000007,None,1.62096e-05,True,0.0541241,True,True,True,
27,0.0,3.3,1,tt,bcs,80000,None,000008,None,1.62063e-05,True,0.432725,True,True,True,
27,0.0,3.3,1,ss,bcs,50000,None,000015,None,1.66455e-05,True,0.277812,True,True,True,
27,0.0,3.3,1,ss,bcs,10000,None,000016,None,1.66476e-05,True,0.0555837,True,True,True,
27,0.0,3.3,1,ss,bcs,80000,None,000017,None,1.66441e-05,True,0.444392,True,True,True,
27,0.0,3.3,1,ff,typ,50000,None,000018,None,1.27064e-05,True,0.212113,True,True,True,
